Time [s], Analyzer Name, Decoded Protocol Result
0.000011250000000,I2C,Setup Write to [0x3A] + ACK
0.000044500000000,I2C,0x00 + ACK
0.000076750000000,I2C,0x02 + ACK
0.000108500000000,I2C,0x44 + ACK
0.000140500000000,I2C,0x40 + ACK
0.000176500000000,I2C,0x40 + ACK
0.000208250000000,I2C,0x05 + ACK
0.000240250000000,I2C,0x69 + ACK
0.000272250000000,I2C,0x17 + ACK
0.000304000000000,I2C,0x75 + ACK
0.000336000000000,I2C,0x40 + ACK
0.000367750000000,I2C,0x40 + ACK
0.000399750000000,I2C,0x06 + ACK
0.000431750000000,I2C,0x08 + ACK
0.000463500000000,I2C,0x89 + ACK
0.000495500000000,I2C,0xA4 + ACK
0.000527250000000,I2C,0x95 + ACK
0.000559250000000,I2C,0x9C + ACK
0.000591250000000,I2C,0x73 + ACK
0.000623000000000,I2C,0x02 + ACK
0.000655000000000,I2C,0x72 + ACK
0.000686750000000,I2C,0x20 + ACK
0.000718750000000,I2C,0x0B + ACK
0.000750750000000,I2C,0xAA + ACK
0.000782500000000,I2C,0xAA + ACK
0.000814500000000,I2C,0x28 + ACK
0.000846250000000,I2C,0x30 + ACK
0.000878250000000,I2C,0x40 + ACK
0.000910000000000,I2C,0x87 + ACK
0.000942000000000,I2C,0xC2 + ACK
0.000974000000000,I2C,0x25 + ACK
0.001005750000000,I2C,0x30 + ACK
0.001037750000000,I2C,0x26 + ACK
0.001069500000000,I2C,0x47 + ACK
0.002871750000000,I2C,Setup Write to [0x3A] + ACK
0.002904500000000,I2C,0x0B + ACK
0.002936500000000,I2C,0x18 + ACK
0.003879750000000,I2C,Setup Write to [0x3A] + ACK
0.003912750000000,I2C,0x0A + ACK
0.003944500000000,I2C,0x0C + ACK
0.004870750000000,I2C,Setup Write to [0x3A] + ACK
0.004903500000000,I2C,0x0B + ACK
0.004935500000000,I2C,0x18 + ACK
0.005869000000000,I2C,Setup Write to [0x3A] + ACK
0.005901750000000,I2C,0x0B + ACK
0.005933750000000,I2C,0x18 + ACK
0.006870000000000,I2C,Setup Write to [0x3A] + ACK
0.006902750000000,I2C,0x03 + ACK
0.006934500000000,I2C,0x40 + ACK
0.007870250000000,I2C,Setup Write to [0x3A] + ACK
0.007903000000000,I2C,0x0A + ACK
0.007935000000000,I2C,0x0C + ACK
0.008877000000000,I2C,Setup Write to [0x3A] + ACK
0.008909750000000,I2C,0x04 + ACK
0.008941750000000,I2C,0x05 + ACK
0.009872750000000,I2C,Setup Write to [0x3A] + ACK
0.009905500000000,I2C,0x1E + ACK
0.009937500000000,I2C,0x26 + ACK
0.010871750000000,I2C,Setup Write to [0x3A] + ACK
0.010904500000000,I2C,0x1E + ACK
0.010936250000000,I2C,0x26 + ACK
0.011879250000000,I2C,Setup Write to [0x3A] + ACK
0.011912000000000,I2C,0x1E + ACK
0.011944000000000,I2C,0x27 + ACK
0.012873000000000,I2C,Setup Write to [0x3A] + ACK
0.012905500000000,I2C,0x12 + ACK
0.012937500000000,I2C,0x72 + ACK
0.013880250000000,I2C,Setup Write to [0x3A] + ACK
0.013913000000000,I2C,0x1E + ACK
0.013945000000000,I2C,0x27 + ACK
0.014876000000000,I2C,Setup Write to [0x3A] + ACK
0.014908750000000,I2C,0x1F + ACK
0.014940500000000,I2C,0x66 + ACK
0.015879000000000,I2C,Setup Write to [0x3A] + ACK
0.015911750000000,I2C,0x1B + ACK
0.015943500000000,I2C,0xC2 + ACK
0.016874250000000,I2C,Setup Write to [0x3A] + ACK
0.016907000000000,I2C,0x04 + ACK
0.016939000000000,I2C,0x05 + ACK
0.017873750000000,I2C,Setup Write to [0x3A] + ACK
0.017906500000000,I2C,0x0C + ACK
0.017938250000000,I2C,0x85 + ACK
0.018896500000000,I2C,Setup Write to [0x3A] + ACK
0.018929500000000,I2C,0x1A + ACK
0.018961750000000,I2C,0x8F + ACK
0.019887500000000,I2C,Setup Write to [0x3A] + ACK
0.019920250000000,I2C,0x05 + ACK
0.019952500000000,I2C,0x49 + ACK
0.020878250000000,I2C,Setup Write to [0x3A] + ACK
0.020911000000000,I2C,0x19 + ACK
0.020942750000000,I2C,0x40 + ACK
0.021875000000000,I2C,Setup Write to [0x3A] + ACK
0.021907750000000,I2C,0x01 + ACK
0.021939750000000,I2C,0x0C + ACK
0.022875750000000,I2C,Setup Write to [0x3A] + ACK
0.022908250000000,I2C,0x02 + ACK
0.022940250000000,I2C,0x40 + ACK
0.023884500000000,I2C,Setup Write to [0x3A] + ACK
0.023917500000000,I2C,0x08 + ACK
0.023949250000000,I2C,0x62 + ACK
0.024878750000000,I2C,Setup Write to [0x3A] + ACK
0.024911500000000,I2C,0x09 + ACK
0.024943500000000,I2C,0x40 + ACK
0.025877750000000,I2C,Setup Write to [0x3A] + ACK
0.025910500000000,I2C,0x03 + ACK
0.025942250000000,I2C,0x40 + ACK
0.026879250000000,I2C,Setup Write to [0x3A] + ACK
0.026912000000000,I2C,0x01 + ACK
0.026944000000000,I2C,0x0D + ACK
0.027879500000000,I2C,Setup Write to [0x3A] + ACK
0.027912250000000,I2C,0x1E + ACK
0.027944000000000,I2C,0xA7 + ACK
0.028886250000000,I2C,Setup Write to [0x3A] + ACK
0.028919250000000,I2C,0x11 + ACK
0.028951250000000,I2C,0x02 + ACK
0.030662500000000,I2C,Setup Write to [0x3A] + ACK
0.030695500000000,I2C,0x12 + ACK
0.030728000000000,I2C,0x72 + ACK
0.031879250000000,I2C,Setup Write to [0x3A] + ACK
0.031911750000000,I2C,0x0F + ACK
0.031943750000000,I2C,0xA4 + ACK
0.032881500000000,I2C,Setup Write to [0x3A] + ACK
0.032914500000000,I2C,0x10 + ACK
0.032946250000000,I2C,0x63 + ACK
0.033885500000000,I2C,Setup Write to [0x3A] + ACK
0.033918500000000,I2C,0x17 + ACK
0.033950250000000,I2C,0x28 + ACK
0.034883750000000,I2C,Setup Write to [0x3A] + ACK
0.034916500000000,I2C,0x1D + ACK
0.034948250000000,I2C,0x30 + ACK
0.035883500000000,I2C,Setup Write to [0x3A] + ACK
0.035916000000000,I2C,0x13 + ACK
0.035948000000000,I2C,0x38 + ACK
0.036882000000000,I2C,Setup Write to [0x3A] + ACK
0.036914500000000,I2C,0x10 + ACK
0.036946500000000,I2C,0x67 + ACK
0.037881750000000,I2C,Setup Write to [0x3A] + ACK
0.037914500000000,I2C,0x10 + ACK
0.037946500000000,I2C,0x67 + ACK
0.038900750000000,I2C,Setup Write to [0x3A] + ACK
0.038933500000000,I2C,0x14 + ACK
0.038965750000000,I2C,0xAC + ACK
0.039887500000000,I2C,Setup Write to [0x3A] + ACK
0.039920250000000,I2C,0x12 + ACK
0.039952250000000,I2C,0x7A + ACK
0.040885500000000,I2C,Setup Write to [0x3A] + ACK
0.040918000000000,I2C,0x16 + ACK
0.040950000000000,I2C,0x00 + ACK
0.041898500000000,I2C,Setup Write to [0x3A] + ACK
0.041931250000000,I2C,0x15 + ACK
0.041963000000000,I2C,0x00 + ACK
0.062893250000000,I2C,Setup Write to [0x3A] + ACK
0.062926750000000,I2C,0x00 + ACK
0.063651750000000,I2C,Setup Read to [0x3A] + ACK
0.063685000000000,I2C,0x69 + ACK
0.063716750000000,I2C,0xBD + ACK
0.064578250000000,I2C,Setup Write to [0x3A] + ACK
0.064610750000000,I2C,0x00 + ACK
0.065335000000000,I2C,Setup Read to [0x3A] + ACK
0.065367000000000,I2C,0x69 + ACK
0.065397750000000,I2C,0xBD + ACK
0.065428500000000,I2C,0x2E + NAK
0.066253250000000,I2C,Setup Write to [0x3A] + ACK
0.066285750000000,I2C,0x00 + ACK
0.067009750000000,I2C,0x75 + Missing ACK/NAK
0.067063500000000,I2C,Setup Read to [0x57] + ACK
0.067094500000000,I2C,0x8B + NAK
0.067931250000000,I2C,Setup Write to [0x3A] + ACK
0.067963750000000,I2C,0x00 + ACK
0.068688500000000,I2C,Setup Read to [0x3A] + ACK
0.068720750000000,I2C,0x69 + ACK
0.068751750000000,I2C,0xBD + ACK
0.068782500000000,I2C,0x2E + NAK
0.069608750000000,I2C,Setup Write to [0x3A] + ACK
0.069641500000000,I2C,0x1D + ACK
0.069673500000000,I2C,0xF0 + ACK
0.070893500000000,I2C,Setup Write to [0x3A] + ACK
0.070926000000000,I2C,0x01 + ACK
0.070958000000000,I2C,0x0C + ACK
0.071904000000000,I2C,Setup Write to [0x3A] + ACK
0.071937000000000,I2C,0x1E + ACK
0.071968750000000,I2C,0x27 + ACK
0.072901500000000,I2C,Setup Write to [0x3A] + ACK
0.072934250000000,I2C,0x00 + ACK
0.072966250000000,I2C,0x13 + ACK
0.073900750000000,I2C,Setup Write to [0x3A] + ACK
0.073933500000000,I2C,0x00 + ACK
0.073965250000000,I2C,0x93 + ACK
0.074897750000000,I2C,Setup Write to [0x3A] + ACK
0.074930500000000,I2C,0x04 + ACK
0.074962250000000,I2C,0x05 + ACK
0.075901250000000,I2C,Setup Write to [0x3A] + ACK
0.075934250000000,I2C,0x1B + ACK
0.075966000000000,I2C,0xC3 + ACK
0.076899250000000,I2C,Setup Write to [0x3A] + ACK
0.076932000000000,I2C,0x0D + ACK
0.076964000000000,I2C,0xA5 + ACK
0.077898500000000,I2C,Setup Write to [0x3A] + ACK
0.077931500000000,I2C,0x1C + ACK
0.077963250000000,I2C,0x25 + ACK
0.078915000000000,I2C,Setup Write to [0x3A] + ACK
0.078947750000000,I2C,0x0E + ACK
0.078980250000000,I2C,0x95 + ACK
0.079900000000000,I2C,Setup Write to [0x3A] + ACK
0.079932750000000,I2C,0x1A + ACK
0.079964500000000,I2C,0x4F + ACK
0.080897750000000,I2C,Setup Write to [0x3A] + ACK
0.080930250000000,I2C,0x1C + ACK
0.080962250000000,I2C,0x95 + ACK
0.081978750000000,I2C,Setup Write to [0x3A] + ACK
0.082012000000000,I2C,0x1B + ACK
0.082044250000000,I2C,0xC3 + ACK
0.082907250000000,I2C,Setup Write to [0x3A] + ACK
0.082940000000000,I2C,0x01 + ACK
0.082972000000000,I2C,0x0C + ACK
0.083906250000000,I2C,Setup Write to [0x3A] + ACK
0.083939000000000,I2C,0x17 + ACK
0.083971000000000,I2C,0x08 + ACK
0.084900250000000,I2C,Setup Write to [0x3A] + ACK
0.084933000000000,I2C,0x07 + ACK
0.084964750000000,I2C,0xF5 + ACK
0.085900000000000,I2C,Setup Write to [0x3A] + ACK
0.085932750000000,I2C,0x1E + ACK
0.085964500000000,I2C,0x27 + ACK
0.086903250000000,I2C,Setup Write to [0x3A] + ACK
0.086936000000000,I2C,0x06 + ACK
0.086968000000000,I2C,0x13 + ACK
