Time [s], Analyzer Name, Decoded Protocol Result
0.036888750000000,I2C,Setup Write to [0x3A] + ACK
0.036921500000000,I2C,0x10 + ACK
0.036953500000000,I2C,0x67 + ACK
0.037890500000000,I2C,Setup Write to [0x3A] + ACK
0.037923250000000,I2C,0x14 + ACK
0.037955250000000,I2C,0xAE + ACK
0.038903500000000,I2C,Setup Write to [0x3A] + ACK
0.038936500000000,I2C,0x12 + ACK
0.038968750000000,I2C,0x72 + ACK
0.039901000000000,I2C,Setup Write to [0x3A] + ACK
0.039933750000000,I2C,0x16 + ACK
0.039965750000000,I2C,0x7F + ACK
0.040892500000000,I2C,Setup Write to [0x3A] + ACK
0.040925250000000,I2C,0x15 + ACK
0.040957000000000,I2C,0xFE + ACK
0.061899500000000,I2C,Setup Write to [0x3A] + ACK
0.061933500000000,I2C,0x00 + ACK
0.062657750000000,I2C,Setup Read to [0x3A] + ACK
0.062691000000000,I2C,0x69 + ACK
0.062723000000000,I2C,0xBD + ACK
0.062754500000000,I2C,0xEE + NAK
0.063584750000000,I2C,Setup Write to [0x3A] + ACK
0.063617250000000,I2C,0x00 + ACK
0.064342500000000,I2C,Setup Read to [0x3A] + ACK
0.064375000000000,I2C,0x69 + ACK
0.064406000000000,I2C,0xBD + ACK
0.064437000000000,I2C,0xEE + NAK
0.065268500000000,I2C,Setup Write to [0x3A] + ACK
0.065301000000000,I2C,0x00 + ACK
0.066025000000000,I2C,Setup Read to [0x3A] + ACK
0.066075500000000,I2C,Setup Read to [0x2B] + NAK
0.066106250000000,I2C,0x5D + NAK
0.066946750000000,I2C,Setup Write to [0x3A] + ACK
0.066979500000000,I2C,0x00 + ACK
0.067703750000000,I2C,Setup Read to [0x3A] + ACK
0.067735750000000,I2C,0x69 + ACK
0.067766750000000,I2C,0xBD + ACK
0.068623250000000,I2C,Setup Write to [0x3A] + ACK
0.068656250000000,I2C,0x1D + ACK
0.068688500000000,I2C,0xF0 + ACK
0.069905750000000,I2C,Setup Write to [0x3A] + ACK
0.069938500000000,I2C,0x01 + ACK
0.069970250000000,I2C,0x0C + ACK
0.070902250000000,I2C,Setup Write to [0x3A] + ACK
0.070935000000000,I2C,0x1E + ACK
0.070967000000000,I2C,0x27 + ACK
0.071909750000000,I2C,Setup Write to [0x3A] + ACK
0.071942250000000,I2C,0x00 + ACK
0.071974250000000,I2C,0x12 + ACK
0.072905250000000,I2C,Setup Write to [0x3A] + ACK
0.072937750000000,I2C,0x00 + ACK
0.072969750000000,I2C,0x92 + ACK
0.073903750000000,I2C,Setup Write to [0x3A] + ACK
0.073936500000000,I2C,0x04 + ACK
0.073968500000000,I2C,0x05 + ACK
0.074918500000000,I2C,Setup Write to [0x3A] + ACK
0.074951250000000,I2C,0x1B + ACK
0.074983250000000,I2C,0xC3 + ACK
0.075904250000000,I2C,Setup Write to [0x3A] + ACK
0.075937000000000,I2C,0x0D + ACK
0.075969000000000,I2C,0xA5 + ACK
0.076906750000000,I2C,Setup Write to [0x3A] + ACK
0.076939250000000,I2C,0x1C + ACK
0.076971250000000,I2C,0x25 + ACK
0.077915750000000,I2C,Setup Write to [0x3A] + ACK
0.077948750000000,I2C,0x0E + ACK
0.077980750000000,I2C,0x95 + ACK
0.078918250000000,I2C,Setup Write to [0x3A] + ACK
0.078951000000000,I2C,0x1A + ACK
0.078983250000000,I2C,0x4F + ACK
0.079912000000000,I2C,Setup Write to [0x3A] + ACK
0.079944750000000,I2C,0x1C + ACK
0.079976750000000,I2C,0x95 + ACK
0.080906250000000,I2C,Setup Write to [0x3A] + ACK
0.080939000000000,I2C,0x1B + ACK
0.080971000000000,I2C,0xC3 + ACK
0.081908750000000,I2C,Setup Write to [0x3A] + ACK
0.081941500000000,I2C,0x01 + ACK
0.081973250000000,I2C,0x0C + ACK
0.082908750000000,I2C,Setup Write to [0x3A] + ACK
0.082941750000000,I2C,0x17 + ACK
0.082973500000000,I2C,0x08 + ACK
0.083906750000000,I2C,Setup Write to [0x3A] + ACK
0.083939500000000,I2C,0x07 + ACK
0.083971250000000,I2C,0xF5 + ACK
0.084910500000000,I2C,Setup Write to [0x3A] + ACK
0.084943250000000,I2C,0x1E + ACK
0.084975250000000,I2C,0x27 + ACK
0.085908750000000,I2C,Setup Write to [0x3A] + ACK
0.085941500000000,I2C,0x06 + ACK
0.085973250000000,I2C,0x13 + Missing ACK/NAK
0.086911750000000,I2C,Setup Write to [0x3A] + ACK
0.086944500000000,I2C,0x1B + ACK
0.086976250000000,I2C,0xC3 + ACK
0.087910250000000,I2C,Setup Write to [0x3A] + ACK
0.087943000000000,I2C,0x1F + Missing ACK/NAK
0.087974750000000,I2C,Setup Read to [0x13] + ACK
0.188949250000000,I2C,Setup Write to [0x3A] + ACK
0.188982500000000,I2C,0x1B + ACK
0.189014750000000,I2C,0xE3 + ACK
0.189951750000000,I2C,Setup Write to [0x3A] + ACK
0.189984500000000,I2C,0x03 + ACK
0.190016500000000,I2C,0xC0 + ACK
0.190949500000000,I2C,Setup Write to [0x3A] + ACK
0.190982250000000,I2C,0x02 + ACK
0.191014250000000,I2C,0x40 + ACK
1.112925000000000,I2C,Setup Write to [0x3A] + ACK
1.112958500000000,I2C,0x00 + ACK
1.112990750000000,I2C,0x02 + ACK
1.113022750000000,I2C,0x44 + ACK
1.113054500000000,I2C,0x40 + ACK
1.113086500000000,I2C,0x40 + ACK
1.113118250000000,I2C,0x05 + ACK
1.113150250000000,I2C,0x69 + ACK
1.113182250000000,I2C,0x17 + ACK
1.113214000000000,I2C,0x75 + ACK
1.113246000000000,I2C,0x40 + ACK
1.113277750000000,I2C,0x40 + ACK
1.113309750000000,I2C,0x06 + ACK
1.113341500000000,I2C,0x08 + ACK
1.113373500000000,I2C,0x89 + ACK
1.113405500000000,I2C,0xA4 + ACK
1.113437250000000,I2C,0x95 + ACK
1.113469250000000,I2C,0x9C + ACK
1.113501000000000,I2C,0x73 + ACK
1.113533000000000,I2C,0x02 + ACK
1.113565000000000,I2C,0x72 + ACK
1.113602500000000,I2C,0x20 + ACK
1.113634500000000,I2C,0x0B + ACK
1.113666500000000,I2C,0xAA + ACK
1.113698250000000,I2C,0xAA + ACK
1.113730250000000,I2C,0x28 + ACK
1.113762000000000,I2C,0x30 + ACK
1.113794000000000,I2C,0x40 + ACK
1.113826000000000,I2C,0x87 + ACK
1.113857750000000,I2C,0xC2 + ACK
1.113889750000000,I2C,0x25 + ACK
1.113921500000000,I2C,0x30 + ACK
1.113953500000000,I2C,0x26 + ACK
1.113985250000000,I2C,0x47 + ACK
1.115316250000000,I2C,Setup Write to [0x3A] + ACK
1.115349250000000,I2C,0x0B + ACK
1.115381000000000,I2C,0x18 + ACK
1.116304000000000,I2C,Setup Write to [0x3A] + ACK
1.116336750000000,I2C,0x0A + ACK
1.116368750000000,I2C,0x0C + ACK
1.117301750000000,I2C,Setup Write to [0x3A] + ACK
1.117334750000000,I2C,0x0B + ACK
1.117366500000000,I2C,0x18 + ACK
