Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.000044500000000,0,0x3A,0x00,Write,ACK
0.000076750000000,0,0x3A,0x02,Write,ACK
0.000108500000000,0,0x3A,0x44,Write,ACK
0.000140500000000,0,0x3A,0x40,Write,ACK
0.000176500000000,0,0x3A,0x40,Write,ACK
0.000208250000000,0,0x3A,0x05,Write,ACK
0.000240250000000,0,0x3A,0x69,Write,ACK
0.000272250000000,0,0x3A,0x17,Write,ACK
0.000304000000000,0,0x3A,0x75,Write,ACK
0.000336000000000,0,0x3A,0x40,Write,ACK
0.000367750000000,0,0x3A,0x40,Write,ACK
0.000399750000000,0,0x3A,0x06,Write,ACK
0.000431750000000,0,0x3A,0x08,Write,ACK
0.000463500000000,0,0x3A,0x89,Write,ACK
0.000495500000000,0,0x3A,0xA4,Write,ACK
0.000527250000000,0,0x3A,0x95,Write,ACK
0.000559250000000,0,0x3A,0x9C,Write,ACK
0.000591250000000,0,0x3A,0x73,Write,ACK
0.000623000000000,0,0x3A,0x02,Write,ACK
0.000655000000000,0,0x3A,0x72,Write,ACK
0.000686750000000,0,0x3A,0x20,Write,ACK
0.000718750000000,0,0x3A,0x0B,Write,ACK
0.000750750000000,0,0x3A,0xAA,Write,ACK
0.000782500000000,0,0x3A,0xAA,Write,ACK
0.000814500000000,0,0x3A,0x28,Write,ACK
0.000846250000000,0,0x3A,0x30,Write,ACK
0.000878250000000,0,0x3A,0x40,Write,ACK
0.000910000000000,0,0x3A,0x87,Write,ACK
0.000942000000000,0,0x3A,0xC2,Write,ACK
0.000974000000000,0,0x3A,0x25,Write,ACK
0.001005750000000,0,0x3A,0x30,Write,ACK
0.001037750000000,0,0x3A,0x26,Write,ACK
0.001069500000000,0,0x3A,0x47,Write,ACK
0.002904500000000,1,0x3A,0x0B,Write,ACK
0.002936500000000,1,0x3A,0x18,Write,ACK
0.003912750000000,2,0x3A,0x0A,Write,ACK
0.003944500000000,2,0x3A,0x0C,Write,ACK
0.004903500000000,3,0x3A,0x0B,Write,ACK
0.004935500000000,3,0x3A,0x18,Write,ACK
0.005901750000000,4,0x3A,0x0B,Write,ACK
0.005933750000000,4,0x3A,0x18,Write,ACK
0.006902750000000,5,0x3A,0x03,Write,ACK
0.006934500000000,5,0x3A,0x40,Write,ACK
0.007903000000000,6,0x3A,0x0A,Write,ACK
0.007935000000000,6,0x3A,0x0C,Write,ACK
0.008909750000000,7,0x3A,0x04,Write,ACK
0.008941750000000,7,0x3A,0x05,Write,ACK
0.009905500000000,8,0x3A,0x1E,Write,ACK
0.009937500000000,8,0x3A,0x26,Write,ACK
0.010904500000000,9,0x3A,0x1E,Write,ACK
0.010936250000000,9,0x3A,0x26,Write,ACK
0.011912000000000,10,0x3A,0x1E,Write,ACK
0.011944000000000,10,0x3A,0x27,Write,ACK
0.012905500000000,11,0x3A,0x12,Write,ACK
0.012937500000000,11,0x3A,0x72,Write,ACK
0.013913000000000,12,0x3A,0x1E,Write,ACK
0.013945000000000,12,0x3A,0x27,Write,ACK
0.014908750000000,13,0x3A,0x1F,Write,ACK
0.014940500000000,13,0x3A,0x66,Write,ACK
0.015911750000000,14,0x3A,0x1B,Write,ACK
0.015943500000000,14,0x3A,0xC2,Write,ACK
0.016907000000000,15,0x3A,0x04,Write,ACK
0.016939000000000,15,0x3A,0x05,Write,ACK
0.017906500000000,16,0x3A,0x0C,Write,ACK
0.017938250000000,16,0x3A,0x85,Write,ACK
0.018929500000000,17,0x3A,0x1A,Write,ACK
0.018961750000000,17,0x3A,0x8F,Write,ACK
0.019920250000000,18,0x3A,0x05,Write,ACK
0.019952500000000,18,0x3A,0x49,Write,ACK
0.020911000000000,19,0x3A,0x19,Write,ACK
0.020942750000000,19,0x3A,0x40,Write,ACK
0.021907750000000,20,0x3A,0x01,Write,ACK
0.021939750000000,20,0x3A,0x0C,Write,ACK
0.022908250000000,21,0x3A,0x02,Write,ACK
0.022940250000000,21,0x3A,0x40,Write,ACK
0.023917500000000,22,0x3A,0x08,Write,ACK
0.023949250000000,22,0x3A,0x62,Write,ACK
0.024911500000000,23,0x3A,0x09,Write,ACK
0.024943500000000,23,0x3A,0x40,Write,ACK
0.025910500000000,24,0x3A,0x03,Write,ACK
0.025942250000000,24,0x3A,0x40,Write,ACK
0.026912000000000,25,0x3A,0x01,Write,ACK
0.026944000000000,25,0x3A,0x0D,Write,ACK
0.027912250000000,26,0x3A,0x1E,Write,ACK
0.027944000000000,26,0x3A,0xA7,Write,ACK
0.028919250000000,27,0x3A,0x11,Write,ACK
0.028951250000000,27,0x3A,0x02,Write,ACK
0.030695500000000,28,0x3A,0x12,Write,ACK
0.030728000000000,28,0x3A,0x72,Write,ACK
0.031911750000000,29,0x3A,0x0F,Write,ACK
0.031943750000000,29,0x3A,0xA4,Write,ACK
0.032914500000000,30,0x3A,0x10,Write,ACK
0.032946250000000,30,0x3A,0x63,Write,ACK
0.033918500000000,31,0x3A,0x17,Write,ACK
0.033950250000000,31,0x3A,0x28,Write,ACK
0.034916500000000,32,0x3A,0x1D,Write,ACK
0.034948250000000,32,0x3A,0x30,Write,ACK
0.035916000000000,33,0x3A,0x13,Write,ACK
0.035948000000000,33,0x3A,0x38,Write,ACK
0.036914500000000,34,0x3A,0x10,Write,ACK
0.036946500000000,34,0x3A,0x67,Write,ACK
0.037914500000000,35,0x3A,0x10,Write,ACK
0.037946500000000,35,0x3A,0x67,Write,ACK
0.038933500000000,36,0x3A,0x14,Write,ACK
0.038965750000000,36,0x3A,0xAC,Write,ACK
0.039920250000000,37,0x3A,0x12,Write,ACK
0.039952250000000,37,0x3A,0x7A,Write,ACK
0.040918000000000,38,0x3A,0x16,Write,ACK
0.040950000000000,38,0x3A,0x00,Write,ACK
0.041931250000000,39,0x3A,0x15,Write,ACK
0.041963000000000,39,0x3A,0x00,Write,ACK
0.062926750000000,40,0x3A,0x00,Write,ACK
0.063685000000000,41,0x3A,0x69,Read,ACK
0.063716750000000,41,0x3A,0xBD,Read,ACK
0.064610750000000,42,0x3A,0x00,Write,ACK
0.065367000000000,43,0x3A,0x69,Read,ACK
0.065397750000000,43,0x3A,0xBD,Read,ACK
