Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.050384000000000,41,0x3A,0xBA,Read,NAK
0.051245500000000,42,0x3A,0x00,Write,ACK
0.052001750000000,43,0x3A,0x69,Read,ACK
0.052920250000000,44,0x3A,0x00,Write,ACK
0.053676000000000,45,0x3A,0x69,Read,ACK
0.053706750000000,45,0x3A,0xFD,Read,ACK
0.053737750000000,45,0x3A,0xBA,Read,NAK
0.054598750000000,46,0x3A,0x00,Write,ACK
0.055355250000000,47,0x3A,0x69,Read,ACK
0.055386000000000,47,0x3A,0xFD,Read,ACK
0.055417000000000,47,0x3A,0xBA,Read,NAK
0.056274750000000,48,0x3A,0x1D,Write,ACK
0.056306750000000,48,0x3A,0xF2,Write,ACK
0.057562000000000,49,0x3A,0x01,Write,ACK
0.057593750000000,49,0x3A,0x45,Write,ACK
0.058567250000000,50,0x3A,0x1E,Write,ACK
0.058599250000000,50,0x3A,0xAE,Write,ACK
0.059566000000000,51,0x3A,0x00,Write,ACK
0.059598000000000,51,0x3A,0x1F,Write,ACK
0.060564750000000,52,0x3A,0x0F,Write,ACK
0.060596750000000,52,0x3A,0x98,Write,ACK
0.061573000000000,53,0x3A,0x01,Write,ACK
0.061605000000000,53,0x3A,0x41,Write,ACK
0.062565750000000,54,0x3A,0x0C,Write,ACK
0.062597750000000,54,0x3A,0x10,Write,ACK
0.063568500000000,55,0x3A,0x1E,Write,ACK
0.063600500000000,55,0x3A,0x8E,Write,ACK
0.064567750000000,56,0x3A,0x0C,Write,ACK
0.064599750000000,56,0x3A,0x10,Write,ACK
0.078572500000000,57,0x3A,0x00,Write,ACK
0.079329250000000,58,0x3A,0x69,Read,ACK
0.079361000000000,58,0x3A,0xE1,Read,NAK
0.080220500000000,59,0x3A,0x00,Write,ACK
0.080976750000000,60,0x3A,0x69,Read,ACK
0.081007750000000,60,0x3A,0xE1,Read,NAK
0.081862500000000,61,0x3A,0x00,Write,ACK
0.082618500000000,62,0x3A,0x69,Read,ACK
0.082649500000000,62,0x3A,0xE1,Read,NAK
0.083505750000000,63,0x3A,0x0C,Write,ACK
0.083537500000000,63,0x3A,0x11,Write,ACK
0.097578500000000,64,0x3A,0x00,Write,ACK
0.098335500000000,65,0x3A,0x69,Read,ACK
0.098367500000000,65,0x3A,0x31,Read,NAK
0.099228750000000,66,0x3A,0x00,Write,ACK
0.100871000000000,69,0x3A,0x00,Write,ACK
0.101626750000000,70,0x3A,0x69,Read,ACK
0.101657750000000,70,0x3A,0x31,Read,NAK
0.102515500000000,71,0x3A,0x0C,Write,ACK
0.102547500000000,71,0x3A,0x12,Write,ACK
0.116587250000000,72,0x3A,0x00,Write,ACK
0.117344000000000,73,0x3A,0x69,Read,ACK
